Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,476,84165,56820,24369,4606,12350,1436,14995,59958,684,3051
C:\Users\Jay\Desktop\Code\BBCInventathonNode,476,84165,56820,24369,4606,12350,1436,14995,59958,684,3051
C:\Users\Jay\Desktop\Code\BBCInventathonNode\assets,3,144,126,93,7,17,4,1,34,0,14
C:\Users\Jay\Desktop\Code\BBCInventathonNode\assets\js,1,2,1,30,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\assets\nanobar,1,83,78,31,0,5,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\html,1,216,203,83,13,13,44,0,292,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules,458,82658,55418,23820,4498,12278,1359,14962,59226,674,2992
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\accepts,4,695,439,47,31,136,12,120,446,6,18
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\after,4,370,295,73,13,63,13,12,91,1,3
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\after\test,1,121,92,38,2,26,0,3,9,1,3
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\array-flatten,3,206,155,26,9,24,9,27,109,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\arraybuffer.slice,4,349,287,191,35,50,0,12,28,9,24
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\arraybuffer.slice\test,1,228,185,158,27,37,0,6,8,3,4
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\backo2,6,243,163,63,2,39,0,41,106,3,5
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\backo2\test,1,18,14,12,0,4,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\base64-arraybuffer,3,187,158,54,8,21,3,8,30,7,19
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\base64-arraybuffer\lib,1,68,47,37,8,13,0,8,27,7,19
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\base64id,3,213,155,64,15,33,2,25,81,6,10
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\base64id\lib,1,104,56,44,15,23,2,25,81,6,10
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\better-assert,5,227,182,47,2,36,1,9,19,3,5
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\blob,4,285,231,146,32,34,0,20,97,3,12
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\blob\test,1,95,85,82,13,10,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser,33,6856,4620,2609,416,1198,158,1038,4313,52,166
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\lib,5,869,476,107,112,155,1,238,729,27,75
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\lib\types,4,679,365,86,92,126,1,188,581,22,62
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules,24,4753,3542,2462,286,889,137,322,1872,20,78
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\debug,10,1531,939,287,63,305,20,287,1193,20,78
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\debug\src,4,647,308,231,60,118,3,221,941,18,67
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs,14,3222,2603,2175,223,584,117,35,679,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\dist,1,597,482,356,99,104,13,11,107,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\lib,5,590,475,327,99,104,13,11,107,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\test,4,1119,955,1229,16,164,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\bytes,4,465,310,88,17,90,7,65,234,6,17
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\callsite,4,145,122,35,1,23,1,0,1,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\component-bind,5,198,158,43,7,29,0,11,29,3,5
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\component-emitter,4,527,381,119,20,80,1,66,193,3,6
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\component-inherit,6,149,124,38,0,22,0,3,5,3,5
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\component-inherit\test,1,21,12,10,0,6,0,3,5,3,5
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\content-disposition,4,750,415,64,40,149,16,186,797,5,13
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\content-type,4,430,274,44,25,79,10,77,316,5,13
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\cookie,4,644,436,119,30,144,20,64,265,6,18
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\cookie-signature,4,226,166,37,7,37,0,23,67,3,5
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\debug,10,1543,949,287,63,307,20,287,1193,20,78
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\debug\src,4,647,308,231,60,118,3,221,941,18,67
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\depd,8,1296,825,131,96,289,20,182,595,28,70
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\depd\lib,4,285,145,38,26,65,0,75,216,20,52
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\depd\lib\browser,1,78,35,9,7,18,0,25,86,5,13
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\depd\lib\compat,3,207,110,29,19,47,0,50,130,15,39
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\destroy,3,244,179,25,9,33,13,32,88,5,12
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\ee-first,3,276,211,30,9,39,13,26,95,5,12
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\encodeurl,4,309,212,20,1,50,12,47,224,5,13
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io,13,3276,2032,962,120,659,19,585,1823,27,45
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io-client,14,8030,4781,3281,630,1432,157,1817,6500,22,40
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io-client\lib,9,2185,1194,1029,142,371,4,620,1957,22,40
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io-client\lib\transports,5,1233,645,563,77,210,3,378,1184,15,25
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io-parser,8,1850,1221,715,230,346,29,283,1159,13,33
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io-parser\lib,4,1364,848,676,227,233,17,283,1141,13,33
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io\lib,9,1986,1049,901,118,356,0,581,1728,27,45
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io\lib\transports,5,727,371,324,34,143,0,213,573,15,25
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\escape-html,3,217,166,46,12,28,5,23,76,7,23
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\etag,4,492,334,26,14,103,13,55,160,5,13
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\express,15,7624,2508,1421,383,738,35,4378,17049,82,267
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\express\lib,11,3980,1774,1391,383,658,5,1548,5667,75,243
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\express\lib\middleware,2,92,36,29,6,20,0,36,108,14,46
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\express\lib\router,3,1062,572,431,133,205,1,285,1098,21,69
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\finalhandler,4,721,473,56,34,144,13,104,319,5,13
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\forwarded,4,195,154,18,2,25,10,16,55,8,18
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\fresh,4,376,270,31,15,67,14,39,145,6,18
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\has-binary2,4,194,149,35,15,29,0,16,38,4,8
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\has-cors,6,202,159,42,0,32,1,11,38,7,15
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\http-errors,4,656,476,51,28,119,13,61,214,6,18
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\iconv-lite,24,4270,3469,1082,253,532,118,269,2651,0,1
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\iconv-lite\encodings,17,3310,2770,735,170,324,87,216,2195,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\iconv-lite\encodings\tables,8,1206,1199,1,0,7,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\iconv-lite\lib,4,531,370,282,83,118,13,43,324,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\indexof,4,103,94,23,4,9,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\inherits,4,173,157,31,2,13,3,3,25,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\ipaddr.js,5,944,825,539,137,119,19,0,69,0,1
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\ipaddr.js\lib,1,587,535,426,134,52,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\isarray,3,174,153,27,1,21,8,0,11,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\media-typer,4,469,285,54,29,84,10,100,474,28,199
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\merge-descriptors,4,305,241,44,7,38,8,26,95,6,18
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\methods,4,275,216,31,3,37,10,22,67,6,18
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\mime,7,388,261,120,8,73,22,54,245,3,6
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\mime-db,5,7464,7350,1983,1,105,20,9,50,8,17
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\mime-types,4,663,372,42,30,110,28,181,504,6,18
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\mime\build,2,70,41,41,1,14,10,15,33,3,6
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\ms,4,338,266,72,27,32,19,40,157,3,4
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\negotiator,8,1384,792,365,127,304,12,288,852,35,120
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\negotiator\lib,4,830,419,280,109,167,1,244,684,28,96
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\object-assign,3,272,210,86,21,44,6,18,77,5,8
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\object-component,6,254,171,79,11,41,0,42,108,6,10
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\object-component\test,1,48,37,37,0,8,0,3,5,3,5
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\on-finished,4,548,352,41,20,118,10,78,244,6,18
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\parsejson,4,145,126,45,6,12,0,7,26,6,17
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\parseqs,4,157,127,55,6,14,0,16,46,7,20
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\parseuri,5,188,165,74,4,17,4,6,21,6,17
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\parseurl,4,434,295,34,18,85,10,54,166,6,18
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\path-to-regexp,4,423,344,104,14,50,3,29,150,3,5
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\proxy-addr,4,694,459,137,47,143,13,92,272,5,13
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\qs,13,3223,2639,2268,247,549,128,35,688,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\qs\dist,1,615,497,370,111,107,12,11,105,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\qs\lib,5,608,490,341,111,107,12,11,105,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\qs\test,4,1187,1012,1304,16,175,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\range-parser,4,422,288,45,18,73,10,61,195,6,18
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\raw-body,4,814,552,70,35,169,12,93,324,6,18
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\safe-buffer,5,847,636,118,17,183,41,28,305,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\send,4,1938,1215,142,134,373,19,350,1037,6,18
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\serve-static,4,961,681,48,25,213,16,67,218,7,23
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\setprototypeof,3,128,118,34,5,10,1,0,1,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\socket.io,7,2661,1689,774,132,468,31,504,1673,12,20
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\socket.io-adapter,3,363,231,138,38,44,1,88,280,3,5
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\socket.io-client,10,1963,850,1173,96,233,22,880,4021,15,989
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\socket.io-client\dist,2,6,4,609,1,0,2,2,966,0,964
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\socket.io-client\lib,5,1189,616,532,95,201,9,372,1097,15,25
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\socket.io-parser,6,894,534,254,61,164,20,196,738,7,12
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\socket.io\lib,4,1562,824,723,132,234,5,504,1572,12,20
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\statuses,5,478,350,33,10,68,18,60,239,6,18
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\to-array,3,136,120,21,2,16,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\type-is,4,751,312,42,37,78,12,361,1139,6,18
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\ultron,2,252,172,68,16,22,0,58,248,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\unpipe,4,213,160,25,11,31,10,22,66,5,13
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\utils-merge,3,153,120,27,3,18,4,15,65,14,54
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\uws,3,689,597,404,73,88,1,4,26,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\vary,4,379,254,31,17,68,13,57,239,5,13
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\ws,14,3154,1946,1382,286,466,23,742,3259,40,144
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\ws\lib,11,2749,1640,1268,279,387,8,722,3095,35,126
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\xmlhttprequest-ssl,13,1255,868,523,82,175,7,212,1040,12,61
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\xmlhttprequest-ssl\example,1,17,12,11,1,5,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\xmlhttprequest-ssl\lib,1,651,390,269,64,83,1,178,884,12,61
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\xmlhttprequest-ssl\tests,9,426,326,223,17,66,3,34,121,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\yeast,3,253,186,48,6,41,7,26,117,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\stat.txt,7,515,448,217,85,35,4,32,237,10,42
C:\Users\Jay\Desktop\Code\BBCInventathonNode\storage,1,1,1,22,0,0,0,0,0,0,0
